iter	Passed	Remaining
0	152	152329
1	160	80002
2	164	54623
3	167	41803
4	172	34342
5	178	29501
6	183	25994
7	188	23419
8	191	21117
9	194	19209
10	196	17644
11	198	16333
12	202	15361
13	204	14400
14	206	13553
15	208	12816
16	210	12186
17	212	11615
18	215	11101
19	216	10609
20	217	10156
21	219	9740
22	220	9357
23	221	9007
24	222	8684
25	223	8386
26	225	8111
27	226	7853
28	227	7616
29	230	7445
30	231	7237
31	232	7037
32	233	6852
33	234	6675
34	236	6512
35	237	6357
36	238	6209
37	239	6072
38	241	5939
39	242	5813
40	245	5731
41	246	5617
42	247	5507
43	248	5401
44	249	5299
45	250	5202
46	252	5110
47	253	5021
48	254	4937
49	255	4857
50	256	4780
51	260	4746
52	261	4673
53	262	4602
54	263	4535
55	265	4471
56	266	4407
57	267	4345
58	268	4286
59	269	4229
60	271	4173
61	272	4129
62	275	4096
63	276	4047
64	278	4002
65	279	3959
66	281	3915
67	282	3871
68	283	3829
69	285	3787
70	286	3746
71	288	3719
72	289	3681
73	291	3643
74	292	3605
75	293	3568
76	294	3532
77	295	3498
78	297	3464
79	298	3431
80	299	3398
81	300	3367
82	302	3341
83	304	3322
84	305	3292
85	307	3263
86	308	3234
87	309	3207
88	310	3178
89	311	3152
90	312	3125
91	314	3099
92	315	3074
93	316	3049
94	319	3043
95	320	3019
96	321	2992
97	322	2965
98	323	2944
99	324	2922
100	325	2900
101	326	2878
102	328	2858
103	329	2840
104	330	2817
105	333	2814
106	335	2796
107	336	2776
108	337	2759
109	339	2744
110	340	2730
111	342	2715
112	344	2701
113	345	2687
114	349	2689
115	351	2675
116	352	2657
117	353	2641
118	354	2624
119	355	2608
120	356	2593
121	358	2577
122	359	2561
123	360	2546
124	362	2537
125	364	2527
126	365	2513
127	367	2501
128	368	2488
129	369	2475
130	371	2461
131	372	2449
132	373	2435
133	374	2422
134	377	2415
135	378	2404
136	379	2391
137	380	2378
138	381	2365
139	383	2352
140	384	2340
141	385	2328
142	386	2317
143	387	2305
144	389	2293
145	389	2279
146	392	2280
147	394	2269
148	395	2258
149	396	2247
150	397	2236
151	398	2225
152	400	2214
153	401	2204
154	402	2194
155	403	2184
156	405	2174
157	407	2173
158	409	2164
159	410	2154
160	411	2144
161	412	2135
162	413	2125
163	415	2116
164	416	2107
165	417	2098
166	418	2089
167	420	2080
168	422	2077
169	423	2069
170	425	2060
171	426	2051
172	426	2040
173	428	2032
174	429	2023
175	430	2015
176	431	2006
177	432	1998
178	433	1990
179	436	1988
180	437	1980
181	438	1972
182	440	1965
183	441	1957
184	442	1949
185	443	1941
186	444	1934
187	446	1927
188	447	1920
189	448	1913
190	450	1910
191	452	1904
192	453	1897
193	455	1890
194	456	1884
195	457	1875
196	458	1869
197	460	1863
198	461	1856
199	462	1850
200	463	1843
201	466	1841
202	467	1835
203	468	1829
204	470	1824
205	471	1817
206	472	1811
207	473	1804
208	475	1798
209	476	1792
210	477	1785
211	478	1779
212	481	1779
213	482	1772
214	483	1766
215	485	1760
216	486	1754
217	487	1748
218	488	1740
219	489	1735
220	490	1729
221	491	1723
222	492	1717
223	495	1717
224	496	1711
225	498	1705
226	499	1699
227	500	1694
228	501	1688
229	502	1683
230	504	1677
231	505	1672
232	506	1667
233	507	1661
234	509	1658
235	511	1654
236	512	1649
237	513	1643
238	514	1638
239	515	1633
240	517	1628
241	518	1623
242	519	1618
243	520	1614
244	522	1609
245	525	1609
246	526	1604
247	527	1599
248	528	1595
249	530	1590
250	531	1585
251	532	1580
252	533	1575
253	534	1570
254	536	1566
255	536	1559
256	539	1558
257	541	1555
258	542	1551
259	543	1546
260	544	1541
261	545	1536
262	546	1532
263	548	1528
264	549	1524
265	550	1519
266	551	1514
267	553	1512
268	555	1510
269	557	1506
270	558	1502
271	559	1498
272	561	1494
273	562	1491
274	564	1487
275	565	1482
276	566	1478
277	568	1476
278	569	1472
279	571	1468
280	572	1464
281	573	1460
282	574	1455
283	575	1451
284	576	1447
285	578	1443
286	579	1439
287	580	1435
288	581	1431
289	584	1430
290	585	1426
291	586	1422
292	587	1418
293	589	1415
294	590	1411
295	591	1407
296	592	1403
297	594	1399
298	595	1395
299	596	1391
300	599	1391
301	600	1387
302	601	1383
303	602	1379
304	603	1376
305	605	1372
306	606	1368
307	607	1364
308	608	1361
309	609	1357
310	611	1354
311	613	1353
312	614	1349
313	616	1346
314	617	1342
315	619	1340
316	620	1337
317	621	1333
318	623	1330
319	624	1326
320	625	1322
321	628	1322
322	629	1319
323	630	1315
324	631	1312
325	632	1308
326	634	1304
327	635	1301
328	636	1297
329	637	1294
330	638	1291
331	640	1287
332	642	1286
333	643	1283
334	645	1280
335	646	1277
336	647	1273
337	648	1270
338	649	1266
339	651	1263
340	652	1260
341	653	1257
342	654	1254
343	656	1252
344	658	1249
345	659	1246
346	660	1243
347	662	1240
348	663	1238
349	664	1234
350	666	1232
351	667	1229
352	669	1226
353	670	1224
354	672	1222
355	673	1218
356	674	1215
357	676	1212
358	677	1209
359	678	1206
360	679	1203
361	680	1199
362	682	1196
363	683	1193
364	684	1190
365	687	1190
366	688	1187
367	689	1184
368	690	1181
369	691	1178
370	693	1174
371	694	1172
372	695	1169
373	697	1167
374	699	1165
375	702	1166
376	704	1163
377	705	1160
378	706	1157
379	707	1155
380	709	1152
381	710	1149
382	711	1146
383	712	1143
384	713	1140
385	716	1139
386	717	1137
387	718	1134
388	720	1130
389	721	1128
390	722	1125
391	723	1122
392	724	1119
393	725	1116
394	727	1113
395	728	1110
396	729	1108
397	732	1107
398	733	1104
399	734	1101
400	735	1098
401	736	1095
402	737	1093
403	739	1090
404	740	1087
405	741	1084
406	742	1082
407	743	1079
408	746	1079
409	748	1076
410	749	1073
411	750	1071
412	751	1068
413	752	1065
414	754	1063
415	755	1060
416	756	1057
417	757	1055
418	759	1052
419	762	1052
420	763	1049
421	764	1047
422	766	1045
423	767	1042
424	769	1040
425	770	1038
426	771	1035
427	772	1032
428	773	1030
429	776	1028
430	777	1026
431	778	1023
432	779	1021
433	780	1018
434	782	1015
435	783	1013
436	785	1011
437	786	1009
438	788	1007
439	791	1006
440	792	1004
441	794	1002
442	795	1000
443	797	998
444	798	996
445	800	993
446	801	991
447	802	989
448	805	988
449	806	986
450	807	983
451	809	981
452	810	978
453	811	975
454	812	973
455	813	970
456	814	968
457	816	965
458	817	963
459	819	961
460	821	960
461	822	958
462	823	955
463	825	953
464	826	950
465	827	948
466	828	945
467	829	943
468	831	940
469	832	938
470	833	936
471	836	935
472	837	933
473	839	931
474	840	928
475	841	926
476	842	924
477	843	921
478	845	919
479	846	917
480	847	914
481	849	913
482	851	911
483	852	909
484	854	907
485	855	904
486	856	902
487	858	900
488	859	898
489	860	895
490	861	893
491	864	892
492	865	889
493	866	887
494	867	885
495	868	882
496	869	880
497	871	878
498	872	875
499	873	873
500	874	871
501	875	868
502	877	866
503	879	865
504	881	863
505	882	861
506	883	859
507	884	856
508	885	854
509	887	852
510	888	850
511	889	847
512	890	845
513	891	843
514	894	842
515	895	840
516	897	838
517	898	835
518	899	833
